isbn,name,author,stock,publisher,,price,borroweCount,type
,存见古琴曲谱辑览,查阜西,1,第1版(2007年3月1日),2007-03-01 00:00:00,100.00 ,0,2
,李志原创歌曲吉他谱,李志,2,宁波出版社,2013-12-01 00:00:00,100.00 ,0,2
,神奇秘谱,朱权（明）,1,中国书店出版社,2005-01-01 00:00:00,500.00 ,0,2
,"Goel, Escher, Bach",ouglasR.Hofstater,1,Penguin,2000-03-30 00:00:00,18.99 ,0,2
,傅雷译罗曼·罗兰名作集,(法)罗曼·罗兰/傅雷,1,河南人民出版社,1998-04-01 00:00:00,100.00 ,0,2
,Sviatoslav Richter : Notebooks an Conversations,BrunoMonsaingeon/StewartSpencer/StewartSpencer,1,PrincetonUniversityPress,"01March,2001",52.50 ,0,2
,苏打志2,苏打绿,2,林暐哲音乐社,2006-10-20 00:00:00,99.00 ,0,2
,五月天之素人自拍,五月天,1,時報文化出版企業股份有限公司,2001-09-17 00:00:00,360.00 ,0,2
,张悬 亲爱的 我还不知道(C),,2,出版信息：38.00,1900-01-00 00:00:00,,0,2
,钢琴演奏之道,赵晓生,2,上海音乐出版社,2007-08-01 00:00:00,68.00 ,0,2
,哈农钢琴练指法,哈农,1,湖南文艺出版社,1996-06-01 00:00:00,20.70 ,0,2
,西方文明中的音乐,[美]保罗?亨利?朗/张洪岛/杨燕迪/汤亚汀/杨燕迪校,1,广西师范大学出版社,2014-06-01 00:00:00,198.00 ,0,2
,古典音乐,菲利普·唐斯/孙国忠/沈旋/伍维曦/孙红杰,1,上海音乐出版社,2012-12-01 00:00:00,128.00 ,0,2
,英格兰之梦,[英]乔萨维奇,1,王知夏,1900-01-00 00:00:00,94.00 ,0,2
,琴学备要（上下）,顾梅羹,1,上海音乐出版社,2004-03-01 00:00:00,98.00 ,0,2
,调性和声及20世纪音乐概述,(美)斯蒂凡·库斯特卡//多萝茜·佩恩|译者:杜晓十/杜晓十,1,人民音乐出版社,2010-05-01 00:00:00,98.00 ,0,2
,溪山琴况,[明]徐上瀛著，徐樑编著,1,中华书局,2013-12-04 00:00:00,29.00 ,0,2
,超絕吉他-地獄訓練所,小林信一/吳嘉芳/典絃音樂文化國際事業有限公司/2008,2,出版信息：01,1900-01-01 00:00:00,45.00 ,0,2
,超越聲音藝術,林其蔚,1,藝術家出版社,2012-09-01 00:00:00,450.00 ,0,2
,论贝多芬交响曲的演出,费·魏因迦特纳/陈洪,1,人民音乐出版社,1984-02-01 00:00:00,10.60 ,0,2
,Kurt Cobain,KurtCobain,2,"PenguinBooks,Limite(UK)",2003-11-27 00:00:00,21.00 ,0,2
